nodeType;properties;superTypes;childNodes;abstract;package;filename;location;
unstructured;;;;0;TYPO3.TYPO3CR;NodeTypes.yaml;Application;
TYPO3.Neos:Node;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType;;;1;TYPO3.Neos;NodeTypes.yaml;Application;
TYPO3.Neos:Hidable;_hidden;;;1;TYPO3.Neos;NodeTypes.yaml;Application;
TYPO3.Neos:Timable;_hiddenBeforeDateTime, _hiddenAfterDateTime;;;1;TYPO3.Neos;NodeTypes.yaml;Application;
TYPO3.Neos:Document;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime, titleOverride, metaDescription, metaKeywords, metaRobotsNoindex, metaRobotsNofollow, twitterCardType, twitterCardCreator, twitterCardTitle, twitterCardDescription, twitterCardImage, canonicalLink, openGraphType, openGraphTitle, openGraphDescription, openGraphImage, xmlSitemapChangeFrequency, xmlSitemapPriority, title, uriPathSegment, _hiddenInIndex;TYPO3.Neos:Node, TYPO3.Neos:Hidable, TYPO3.Neos:Timable, TYPO3.Neos.Seo:TitleTagMixin, TYPO3.Neos.Seo:SeoMetaTagsMixin, TYPO3.Neos.Seo:TwitterCardMixin, TYPO3.Neos.Seo:CanonicalLinkMixin, TYPO3.Neos.Seo:OpenGraphMixin, TYPO3.Neos.Seo:XmlSitemapMixin;;1;TYPO3.Neos.Seo;NodeTypes.yaml;Application;
TYPO3.Neos:Shortcut;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime, title, uriPathSegment, _hiddenInIndex, targetMode, target;TYPO3.Neos:Document, , , , , , ;;0;TYPO3.Neos.Seo;NodeTypes.yaml;Application;
TYPO3.Neos:Plugin;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;TYPO3.Neos:Content;;1;TYPO3.Neos;NodeTypes.yaml;Application;
TYPO3.Neos:PluginView;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime, plugin, view;TYPO3.Neos:Content;;0;TYPO3.Neos;NodeTypes.yaml;Application;
TYPO3.Neos:Content;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType, _hidden, _hiddenBeforeDateTime, _hiddenAfterDateTime;TYPO3.Neos:Node, TYPO3.Neos:Hidable, TYPO3.Neos:Timable;;1;Phlu.Corporate;NodeTypes.ContentCollection.yaml;Sites;
TYPO3.Neos:ContentCollection;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType;TYPO3.Neos:Node;;0;Phlu.Corporate;NodeTypes.ContentCollection.yaml;Sites;
TYPO3.Neos:FallbackNode;_removed, _creationDateTime, _lastModificationDateTime, _lastPublicationDateTime, _path, _name, _nodeType;TYPO3.Neos:Node;;0;TYPO3.Neos;NodeTypes.yaml;Application;
